,user_id,location
382,"[""21992362',""]","California, USA',"
383,"[""20529504',""]",Dutty Machine Leggo Mi Juice
384,"[""1497124692217446400',""]",
385,"[""19987249',""]","England',"
386,"[""127530923',""]",
387,"[""2321193966',""]","Earth',"
388,"[""1596269375945834496',""]",
389,"[""1324901440142385152',""]",
390,"[""1286355068799901696',""]",
391,"[""1525110300000780288',""]",
392,"[""1566775403754168327',""]",
393,"[""1587811970270593027',""]",
394,"[""1438954847588528133',""]",
395,"[""297969419',""]",Central PA
396,"[""1545024715630288896',""]",Kent Coast
397,"[""1118900246040412160',""]","she/her',"
398,"[""1437695356205248513',""]","Hinckley',"
399,"[""1482972462',""]","Vilnius, Lituanie',"
400,"[""1493730311741448195',""]",
401,"[""15150549',""]","United States',"
402,"[""1401332380988850178',""]","public_metrics': {'followers_count': 239,"
403,"[""1585903348540219392',""]","United States',"
404,"[""1436303713497387008',""]","Cape Town, South Africa',"
405,"[""1594892457774403584',""]",
406,"[""2971148061',""]","UK',"
407,"[""1491483364867596295',""]",
408,"[""1290696776727568387',""]",
409,"[""773330404992516096',""]","bottom of a Dr.Pepper bottle',"
410,"[""860473033751896064',""]",
411,"[""824034180598272000',""]",
412,"[""973938047447281664',""]",
413,"[""988846608614920192',""]","Georgia',"
414,"[""1563546714648514560',""]",
415,"[""1509479442934026245',""]","The Great State of Confusion',"
416,"[""1341881381794820096',""]",
417,"[""1324973616128126977',""]",
418,"[""1252679420',""]",Europe
419,"[""100167614',""]","Pakistan',"
420,"[""1585540611796508672',""]",
421,"[""1300924247473295361',""]",
422,"[""23693949',""]",Moon
423,"[""1530174841978077185',""]",
424,"[""1552647745734905856',""]",
425,"[""1393462575539519490',""]","Louisville, KY',"
426,"[""716578857659269121',""]","20',"
427,"[""1502416369706491911',""]",
428,"[""1373013209158975491',""]","they/she',"
429,"[""985335193',""]","Chester, England',"
430,"[""574109497',""]","they/she',"
431,"[""1583331646798954498',""]",
432,"[""635653676',""]","South East England',"
433,"[""613463487',""]","Charlottesville, VA',"
434,"[""1545074598768689152',""]",
435,"[""1332162352897159168',""]",
436,"[""1228667284664848391',""]","Lagos, Nigeria',"
437,"[""1481485713749286912',""]","🇺🇸',"
438,"[""464068170',""]","Jamaica',"
439,"[""467357552',""]","Bristol, UK',"
440,"[""1496493167390113794',""]","Paris, France',"
441,"[""1423660344120074245',""]",
442,"[""1570349335694417922',""]",
443,"[""941471646577299456',""]",
444,"[""1550511428066578433',""]",
445,"[""1518513107454337026',""]",
446,"[""4821635698',""]",
447,"[""44103022',""]","Redcar, England',"
448,"[""1524476558701850624',""]",
449,"[""1067418291638083584',""]","Ontario, CA',"
450,"[""1472317350192066573',""]","Based Preston',"
451,"[""16273131',""]","Athens, GA',"
452,"[""1501279581311021057',""]",
453,"[""1498315853481267204',""]","East Coast',"
454,"[""1573266252243828737',""]",
