edit_history_tweet_ids,author_id,lang,text,id,created_at,withheld
['1595130945224716288'],1540005941420204034,en,"RT @KerriJersey: Say what you want about New Jersey, but I love it here for reasons like this. 🌈",1595130945224716288,2022-11-22T19:03:48.000Z,
['1595130787799498752'],1540005941420204034,en,"RT @BettyBowers: Christian Nationalists: ""The gays need to stop sexualizing children!!!!""

Also Christian Nationalists: https://t.co/t0FHDG…",1595130787799498752,2022-11-22T19:03:10.000Z,
['1595130623248990208'],1540005941420204034,en,"RT @TheSWPrincess: #Georgia - do you know your voting options for the #GARunoff? 

Request an absentee ballot (until Nov. 28) &amp; see the bal…",1595130623248990208,2022-11-22T19:02:31.000Z,
['1595130453253505025'],1540005941420204034,en,RT @jayrosen_nyu: A low point for the Washington Post.,1595130453253505025,2022-11-22T19:01:50.000Z,
['1595130311687680001'],1540005941420204034,en,RT @TreasChest: The United States is preparing a new package of weapons for Ukraine for more than $ 1 billion - Reuters. According to the s…,1595130311687680001,2022-11-22T19:01:17.000Z,
['1595130247292207104'],1540005941420204034,en,"RT @mmpadellan: I'm looking for the right adjective to describe Jenna Ellis, and I'm not sure VILE is strong enough.

Suggestions? https://…",1595130247292207104,2022-11-22T19:01:01.000Z,
['1595130201658503169'],1540005941420204034,en,"RT @the_meghaning: Elon Musk called Trent Reznor a ""crybaby"" for deleting his Twitter account. Wil Wheaton then wrote this incisive summary…",1595130201658503169,2022-11-22T19:00:50.000Z,
['1595130022490439681'],1540005941420204034,en,"RT @SecBlinken: Had a good phone call with @NATO Secretary General @jensstoltenberg today ahead of the NATO Foreign Ministers’ Meeting, whe…",1595130022490439681,2022-11-22T19:00:08.000Z,
['1595129959001227264'],1540005941420204034,en,"RT @ForeignAffairs: “Compared to the massive outlays the United States devotes to the Defense Department, the aid to Ukraine is not only mo…",1595129959001227264,2022-11-22T18:59:52.000Z,
['1595129768428843008'],1540005941420204034,en,"RT @CREWcrew: Ginni Thomas tried to get the White House to join a plan for the Supreme Court to throw out the election.

Clarence Thomas wa…",1595129768428843008,2022-11-22T18:59:07.000Z,
['1595129726263209984'],1540005941420204034,en,RT @guardian: Dutch court sides with squatters of sanctions-hit Russian’s mansion https://t.co/TQWA2fwv6t,1595129726263209984,2022-11-22T18:58:57.000Z,
['1595129715622150144'],1540005941420204034,en,@guardian Housing crisis #Worldwide as monthly rentals taken off market to become Holiday Rentals,1595129715622150144,2022-11-22T18:58:54.000Z,
['1595129274255933440'],1540005941420204034,en,"@FBI @FBIHouston @FBIDallas @USAttorneys @TheJusticeDept 

Why have Abbott &amp; DieSantis been allowed to continue this bussing of immigrants?  It is wrong &amp; it is Human Trafficking https://t.co/WkNXsyGHCB",1595129274255933440,2022-11-22T18:57:09.000Z,
['1595128717206253570'],1540005941420204034,en,RT @tomiahonen: I am from the Turd Party. I represent the Werewolf Caucus. And this is a real badge https://t.co/Y9AlIiVM2v,1595128717206253570,2022-11-22T18:54:56.000Z,
['1595128248790548480'],1540005941420204034,en,RT @rjw411: @mattyglesias @brianbeutler Ashley Parker thinks we don’t remember her. https://t.co/TPrJvMi554,1595128248790548480,2022-11-22T18:53:05.000Z,
['1595128156293586945'],1540005941420204034,en,"RT @JillWineBanks: As you unwind for Thanksgiving, join me and @Victorshi2020 LIVE with @dellavolpe and @SimonWDC. It will be an engaging,…",1595128156293586945,2022-11-22T18:52:43.000Z,
['1595128057660338176'],1540005941420204034,en,RT @RevDaniel: I think it’s strange that the evangelical culture which invented Purity Balls at which girls would promise their virginity t…,1595128057660338176,2022-11-22T18:52:19.000Z,
['1595128001347604480'],1540005941420204034,en,"RT @MarijuanaMoment: Biden Cheers Oregon For ‘Following’ His Lead With Marijuana Pardons: ""It's time to right our failed approach to mariju…",1595128001347604480,2022-11-22T18:52:06.000Z,
['1595127882824962048'],1540005941420204034,en,RT @itsJeffTiedrich: a decorated war hero disarmed a mass shooter in Colorado Springs and saved countless lives. Republicans responded by c…,1595127882824962048,2022-11-22T18:51:37.000Z,
['1595127790558654466'],1540005941420204034,en,"RT @BeschlossDC: Dealey Plaza, Dallas, this hour 1963: https://t.co/Kh15yTI13v",1595127790558654466,2022-11-22T18:51:15.000Z,
['1595127481237139457'],1540005941420204034,en,@Meidas_Brian23 @smc429 @elonmusk Nope have LittleHands &amp; Mollusk blocked,1595127481237139457,2022-11-22T18:50:02.000Z,
['1595126848262131713'],1540005941420204034,en,RT @michaeldweiss: Comes after the start of the prosecution in Sweden of two brothers who spied for the GRU while working for the Swedish s…,1595126848262131713,2022-11-22T18:47:31.000Z,
['1595126627461390336'],1540005941420204034,en,RT @txchristabelle: Hunter Biden is a private citizen. He wrote a book detailing everything he did and put his family through. If @POTUS wa…,1595126627461390336,2022-11-22T18:46:38.000Z,
['1595126468899921920'],1540005941420204034,en,RT @BadBradRSR: Wake up America! Everything .@FrankFigliuzzi1 a man with decades in the FBI said here can’t continue with no accountability!,1595126468899921920,2022-11-22T18:46:00.000Z,
['1595126368047890433'],1540005941420204034,en,"RT @britehong: Dear Elon, South Korea is out. I don't want to know why you underestimate Korea, but you may regret it very much soon. Korea…",1595126368047890433,2022-11-22T18:45:36.000Z,
['1595126300926431234'],1540005941420204034,en,RT @IAmPoliticsGirl: @RepSwalwell @HeatherThomasAF @mikepompeo Christian conservatives have been trying to undermine public education forev…,1595126300926431234,2022-11-22T18:45:20.000Z,
['1595126093132214272'],1540005941420204034,en,RT @Martina: These signed photos … I just can’t….,1595126093132214272,2022-11-22T18:44:31.000Z,
['1595125853662633984'],1540005941420204034,en,RT @morethanmySLE: The CDC's abandonment of immunocompromised and disability communities is DISGUSTING. We are NOT disposable!,1595125853662633984,2022-11-22T18:43:34.000Z,
['1595125586997186561'],1540005941420204034,en,RT @luckytran: It's ridiculous that the CDC's *own research* shows that people are more likely to wear a mask and take precautions when the…,1595125586997186561,2022-11-22T18:42:30.000Z,
['1595125504130306050'],1540005941420204034,en,RT @IAmPoliticsGirl: @ruthbenghiat @jbouie Christian conservatives have been trying to undermine public education forever. Want to know mor…,1595125504130306050,2022-11-22T18:42:10.000Z,
['1595125469003010048'],1540005941420204034,en,RT @ruthbenghiat: Pompeo is on a crusade to destroy public education because it is secular and is a democratizing force. Making teachers th…,1595125469003010048,2022-11-22T18:42:02.000Z,
['1595124863261638656'],1540005941420204034,en,RT @Tentoads4truth: @DHS_Wolf @DHSgov 3) Ben Carson 👉 #KochNetwork https://t.co/sWxyOvjMNC,1595124863261638656,2022-11-22T18:39:38.000Z,
