text,created_at,author_id,edit_history_tweet_ids,id,lang,withheld
"RT @Kyla_Lacey: What if “Lean wit It, Rock wit It,” is just a song about promethazine and crack….",2022-11-21T21:46:16.000Z,1150585235538509824,['1594809444134965248'],1594809444134965248,en,
RT @FinesseEness: I just love this genre of photos. https://t.co/hKmBScJaeB,2022-11-21T17:34:42.000Z,1150585235538509824,['1594746136589651969'],1594746136589651969,en,
"RT @girlsinrap: .@iamcardib says @Latto should drop her unreleased track ""Nasty"" via Instagram Live. https://t.co/bXkpRCZKOw",2022-11-21T17:34:09.000Z,1150585235538509824,['1594745997552672768'],1594745997552672768,en,
Haven’t touched pork in 9 years https://t.co/JSUQ2mI9aL,2022-11-21T17:31:10.000Z,1150585235538509824,['1594745247698849792'],1594745247698849792,en,
RT @not1ofdem_: yup that’ll do it,2022-11-21T17:30:46.000Z,1150585235538509824,['1594745148247638016'],1594745148247638016,en,
RT @RoyIsThaTruth: UH OH🤔👀 https://t.co/0JmgpP1QUq,2022-11-21T17:30:18.000Z,1150585235538509824,['1594745031038058497'],1594745031038058497,en,
"RT @JaaaAvery: when you grow up walking on egg shells, recognizing tones, footsteps when ppl were in a bad mood and how to avoid it… Learni…",2022-11-21T17:29:46.000Z,1150585235538509824,['1594744893699670016'],1594744893699670016,en,
RT @notcapnamerica: She said take your ass back to sleep 😭 https://t.co/FI0pl1stYr,2022-11-21T17:29:33.000Z,1150585235538509824,['1594744842240032768'],1594744842240032768,en,
"RT @Justwhodafuq: They cancelled Chris Brown’s performance but kept this?
https://t.co/UXCHFnXtFc",2022-11-21T15:00:09.000Z,1150585235538509824,['1594707243572039681'],1594707243572039681,en,
Everyone talkin about their student loan being forgiven but my ex paid that shit in full!!,2022-11-21T14:48:48.000Z,1150585235538509824,['1594704385728126978'],1594704385728126978,en,
"RT @dorjepadma: The dark side of astrology is that yes, yes, you can see mental health issues, sexual abuse, physical abuse, and violence i…",2022-11-21T14:47:48.000Z,1150585235538509824,['1594704135709868032'],1594704135709868032,en,
"RT @vulnicuravirgo: the song is about the time she was assaulted &amp; the darkness that invaded her spirit thereafter, but the music video see…",2022-11-21T14:47:36.000Z,1150585235538509824,['1594704083310432256'],1594704083310432256,en,
GET THAT BAAAG HAHAHAHAHAH https://t.co/v028wAdKXW,2022-11-21T14:46:56.000Z,1150585235538509824,['1594703916570398721'],1594703916570398721,tl,
RT @askdrkharis: Kelly Rowland just risked her career for that Chris Brown shout out! I’m so proud of the black community for standing behi…,2022-11-21T14:46:25.000Z,1150585235538509824,['1594703788392448000'],1594703788392448000,en,
RT @iamcardib: THEY DONT WANNA SEE NO GANGSTA BITCHES WIN  🏅 https://t.co/6lm28Lmdi0,2022-11-21T14:46:18.000Z,1150585235538509824,['1594703758499500035'],1594703758499500035,en,
RT @deadsbirth: maturing is realizing that apple watch is a waste of money,2022-11-21T14:46:15.000Z,1150585235538509824,['1594703744268017665'],1594703744268017665,en,
"Hell yeah I believe it. 
Like I’m Aquaman when he went down past the trenches and came out into another world. https://t.co/REqFkCxv2o",2022-11-21T14:45:50.000Z,1150585235538509824,['1594703640547180547'],1594703640547180547,en,
"They way my bd can block me when I’m the only way he can talk to his daughters is crazy to me. I get I should just leave it be but when my oldest comes crying to me at some point almost everyday, I have to keep trying for her. It breaks my heart so bad.",2022-11-21T14:24:53.000Z,1150585235538509824,['1594698368231641088'],1594698368231641088,en,
RT @BreezyftJimin: Chris Brown missed his little boy birthday cause of the amas performance he was supposed to do. The disrespectful is sti…,2022-11-21T03:47:12.000Z,1150585235538509824,['1594537889261531137'],1594537889261531137,en,
I love the way women with really long nails wash their face. Lmaoooo idk. Idk.,2022-11-21T03:45:59.000Z,1150585235538509824,['1594537584356601858'],1594537584356601858,en,
RT @HOUSEPORN___: https://t.co/KOADeC48TU,2022-11-21T03:42:11.000Z,1150585235538509824,['1594536628378251266'],1594536628378251266,zxx,
RT @CASANOVA_2X: Michael Jackson tribute can only be done by @chrisbrown … I guess it’s no tribute!!!!!! I hope that dont go over y'all hea…,2022-11-21T03:39:35.000Z,1150585235538509824,['1594535971697045504'],1594535971697045504,en,
RT @barbiebqluv: Nicki Minaj was doing all of this before her debut album. Insane https://t.co/6weUrX4k7u,2022-11-21T03:39:17.000Z,1150585235538509824,['1594535897780785152'],1594535897780785152,en,
RT @theonlymiyam: I got my life on don't disturb. I'm only dealing with who I want to deal with. Not apologetic for it either.,2022-11-21T03:38:50.000Z,1150585235538509824,['1594535783490154496'],1594535783490154496,en,
RT @donettesaid: ill say it again: practicing hoodoo dont mean you gotta make endless videos of you speaking in a forced country/southern/g…,2022-11-21T03:32:25.000Z,1150585235538509824,['1594534170511872000'],1594534170511872000,en,
"Everytime I think about how my ex FaceTimed me while his side piece was in MY shower, I get fucking nauseous. He really thought he was a big boy for that lmao YOU A BITCH MADE ASS BOY FOR THAT!",2022-11-21T03:31:12.000Z,1150585235538509824,['1594533860502515712'],1594533860502515712,en,
RT @sagistarbb: 12Hers https://t.co/8YQrM3Ky67,2022-11-21T02:30:46.000Z,1150585235538509824,['1594518654611501059'],1594518654611501059,en,
"RT @lohanisgod: 17 year old britney spears doing a music video rehearsal for ‘baby one more time’, 1998 https://t.co/7v7fpiezi2",2022-11-21T02:30:30.000Z,1150585235538509824,['1594518586206265344'],1594518586206265344,en,
RT @aIys_x: definitely investing more into my looks in 2023. when you look good you feel good.,2022-11-21T02:30:19.000Z,1150585235538509824,['1594518539678797824'],1594518539678797824,en,
"RT @mrcjbrowneyes87: One year ago today, I woke up, went on Instagram and seen that Britney Spears finally ended Christina Aguilera for goo…",2022-11-21T02:30:01.000Z,1150585235538509824,['1594518464987004928'],1594518464987004928,en,
RT @PopCulture2000s: britney spears snapped at the 2003 amas https://t.co/Qo0Rmzp9Yv,2022-11-21T02:28:33.000Z,1150585235538509824,['1594518094793551872'],1594518094793551872,en,
RT @mixedmjj: having a little sister is like having a daughter.. they always asking for something lol,2022-11-21T02:28:22.000Z,1150585235538509824,['1594518049134063616'],1594518049134063616,en,
