id,geo,edit_history_tweet_ids,created_at,author_id,lang,text
1593370664282357760,"{'place_id': '1795f2e3639cab31', 'coordinates': {'type': 'Point', 'coordinates': [-81.2817346, 42.9372467]}}",['1593370664282357760'],2022-11-17T22:29:04.000Z,140647400,en,"Interested in a job in #London, ON? This could be a great fit. Click the link in our bio to apply: shift supervisor - Store# 04700, WONDERLAND &amp; SOUTHDALE at Starbucks #Retail"
1593353935275712512,"{'place_id': '6a6d896ba1cb5dc4', 'coordinates': {'type': 'Point', 'coordinates': [-113.4937266, 53.5460983]}}",['1593353935275712512'],2022-11-17T21:22:35.000Z,140647400,en,"This job might be a great fit for you: Part Time Associate, Marshalls, Premium Outlet Mall, Edmonton Airport - https://t.co/vEOE7yzzJZ #Retail #Edmonton, AB"
1593337208328462337,"{'place_id': '036806246ab02344', 'coordinates': {'type': 'Point', 'coordinates': [-113.8168155, 52.2095928]}}",['1593337208328462337'],2022-11-17T20:16:07.000Z,140647400,en,"Can you recommend anyone for this #Retail job in #Penhold, AB? Click the link in our bio to see it and more. barista - Store# 16944, GASOLINE ALLEY - RED DEER at Starbucks"
1593320481267929088,"{'place_id': '07acc59e29b2aedb', 'coordinates': {'type': 'Point', 'coordinates': [-82.3598952, 42.9793849]}}",['1593320481267929088'],2022-11-17T19:09:39.000Z,140647400,en,"If you're looking for work in #Sarnia, ON, check out this #Retail job via the link in our bio: shift supervisor - Store# 04772, LONDON &amp; AFTON - SARNIA at Starbucks"
1593303750893936640,"{'place_id': '38d5974e82ed1a6c', 'coordinates': {'type': 'Point', 'coordinates': [-75.8870552, 45.3000143]}}",['1593303750893936640'],2022-11-17T18:03:11.000Z,140647400,en,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. barista - Store# 04472, HAZELDEAN &amp; CASTLEFRANK at Starbucks #Ottawa, ON"
1593058023190036480,"{'place_id': '38d5974e82ed1a6c', 'coordinates': {'type': 'Point', 'coordinates': [-75.7307198, 45.3485612]}}",['1593058023190036480'],2022-11-17T01:46:44.000Z,140647400,en,"The TJX Companies is hiring in #Ottawa, ON! Read about our latest #Retail job opening via the link in our bio: Part Time Associate, Winners Merivale"
1593041292233089024,"{'place_id': '684b2b4e552bfa08', 'coordinates': {'type': 'Point', 'coordinates': [-112.837089, 49.6983513]}}",['1593041292233089024'],2022-11-17T00:40:16.000Z,140647400,en,"Looking to score a job at Starbucks? You're in luck. Click the link in our bio for the job description and information on how to apply: shift supervisor - Store# 04372, LETHBRIDGE CHAPTERS #Retail #Lethbridge, AB"
1593024563008282624,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.1726421, 51.0195332]}}",['1593024563008282624'],2022-11-16T23:33:47.000Z,140647400,en,"The TJX Companies is hiring in #Calgary, AB! Read about our latest #Retail job opening via the link in our bio: Store Associate, Signal Hill"
1592974383038877697,"{'place_id': '45050c66e7c3f027', 'coordinates': {'type': 'Point', 'coordinates': [-77.397489, 44.189134]}}",['1592974383038877697'],2022-11-16T20:14:23.000Z,140647400,en,"We're hiring in #Belleville, ON! Click the link in our bio to apply to this job and more: barista - Store# 04358, QUINTE MALL CHAPTERS at Starbucks #Retail"
1592957648353124352,"{'place_id': '6a96306e8d4b1bea', 'coordinates': {'type': 'Point', 'coordinates': [-73.7997581, 45.4863009]}}",['1592957648353124352'],2022-11-16T19:07:53.000Z,140647400,en,"We're hiring in #DollarddesOrmeaux, QC! Click the link in our bio to apply to this job and more: shift supervisor - Store# 04064, SOURCES &amp; DE SALABERRY at Starbucks #Retail"
