lang,edit_history_tweet_ids,author_id,created_at,text,id
en,['1587787477812666369'],1580485390921879553,2022-11-02T12:43:29.000Z,Apply online: https://t.co/RM5DuEEPoS,1587787477812666369
en,['1587786857479376896'],1580485390921879553,2022-11-02T12:41:01.000Z,Apply online: https://t.co/WHwFXAlfTr,1587786857479376896
en,['1587785388235657217'],1580485390921879553,2022-11-02T12:35:10.000Z,Apply online: https://t.co/PQuIyun844,1587785388235657217
en,['1587784955718995968'],1580485390921879553,2022-11-02T12:33:27.000Z,"See thread for job opportunities
#JobSeekersSA | #PodcastAndChillWithMacG",1587784955718995968
en,['1587783666427633664'],1580485390921879553,2022-11-02T12:28:20.000Z,"Eligibility criteria:
-Shows proven fluency in English
-Has basic computer literacy
-Either in foundation/intermediate/senior phase
-Currently in your final year of your basic education studies in 2023
-Registered with the provisional SACE

Apply online: https://t.co/RM5DuEEPoS",1587783666427633664
en,['1587760212877901824'],1580485390921879553,2022-11-02T10:55:08.000Z,"INK BY NALA
Requirements(Tattoo Artist):
+Must be willing to work full time hours
+A motivated and committed attitude
+Must have a minimum 1 year shop experience
+No bad attitudes, drug or drinking problems
+A strong portfolio 
APPLY: https://t.co/wVItBwDy3l",1587760212877901824
en,['1587759629915897856'],1580485390921879553,2022-11-02T10:52:49.000Z,"INK BY NALA
+Requirements (Receptionist):
+Easily adapt
+Fast and eager to learn
+Ability to handle office equipment (Telephone/fax/printer)
+Interpersonal skills
+Excellent communication skills
+Customer focused
+Active listen

APPLY: https://t.co/wVItBwDy3l",1587759629915897856
en,['1587750029476995073'],1580485390921879553,2022-11-02T10:14:40.000Z,"Minimum Requirements:

&gt;Valid driver's license
&gt;Advanced level of MS Office
&gt;Honours Degree in Forensic Auditing will serve as recommendation
&gt;Completed degree in Forensic auditing

Apply here: https://t.co/aJ7dJeRjJh",1587750029476995073
zxx,['1587731344330833920'],1580485390921879553,2022-11-02T09:00:25.000Z,https://t.co/WHwFXAlfTr,1587731344330833920
zxx,['1587721590044778496'],1580485390921879553,2022-11-02T08:21:40.000Z,https://t.co/PQuIyun844,1587721590044778496
zxx,['1587715043512254465'],1580485390921879553,2022-11-02T07:55:39.000Z,https://t.co/KLPy0DNgpe,1587715043512254465
zxx,['1587425807177220096'],1580485390921879553,2022-11-01T12:46:20.000Z,https://t.co/pBMwDGDGXr,1587425807177220096
en,['1587397998966968320'],1580485390921879553,2022-11-01T10:55:50.000Z,"A plug for jobs: https://t.co/Uwc3L0EQwZ

#JobSeekersSA",1587397998966968320
zxx,['1587396755808739328'],1580485390921879553,2022-11-01T10:50:53.000Z,https://t.co/SdbrTO1MZk,1587396755808739328
zxx,['1587373342708875265'],1580485390921879553,2022-11-01T09:17:51.000Z,https://t.co/nabYr1oWcR,1587373342708875265
zxx,['1587360714624204800'],1580485390921879553,2022-11-01T08:27:40.000Z,https://t.co/x1rhCYmj4s,1587360714624204800
zxx,['1587351355123027969'],1580485390921879553,2022-11-01T07:50:29.000Z,https://t.co/fY3vEfz2sX,1587351355123027969
en,['1587339837702561792'],1580485390921879553,2022-11-01T07:04:43.000Z,@ayanda_yandiey_ Here are some more plugs guys: https://t.co/Uwc3L0EQwZ,1587339837702561792
zxx,['1587338027726258177'],1580485390921879553,2022-11-01T06:57:31.000Z,https://t.co/XrLvRc1kdj,1587338027726258177
zxx,['1587093544879230981'],1580485390921879553,2022-10-31T14:46:02.000Z,https://t.co/ZbjB9FemJC,1587093544879230981
zxx,['1587079681664335875'],1580485390921879553,2022-10-31T13:50:57.000Z,https://t.co/bApqUtaHpl,1587079681664335875
