id,created_at,text,geo,lang,author_id,edit_history_tweet_ids
1595169190821756928,2022-11-22T21:35:46.000Z,Accident in #SWOKC on I-240 Service Rd EB at C.A. Henderson Blvd #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.53332, 35.39083]}}",en,249851984,['1595169190821756928']
1595169188510896160,2022-11-22T21:35:46.000Z,Accident in #NWOKC on Memorial Rd EB at N Western Av #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.53171, 35.60627]}}",en,249851984,['1595169188510896160']
1595169186548158465,2022-11-22T21:35:45.000Z,Accident in #NWOKC-QuailSpgs on Memorial Rd EB at May Ave #OKCtraffic https://t.co/5PW2Tg8tp6,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.56725, 35.60861]}}",en,249851984,['1595169186548158465']
1595169184530722816,2022-11-22T21:35:45.000Z,Accident in #SWOKC on SW 29th St at South Blackwelder Avenue #OKCtraffic https://t.co/5PW2Tg8tp6,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.53909, 35.43526]}}",en,249851984,['1595169184530722816']
1595169182202662935,2022-11-22T21:35:44.000Z,Accident in #SEOKC on SE 44th St at S Sooner Rd #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.42411, 35.42075]}}",en,249851984,['1595169182202662935']
1595169180214562841,2022-11-22T21:35:44.000Z,Accident in #DowntownOkc on Robert S. Kerr at Robinson Ave #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.5164, 35.4698]}}",en,249851984,['1595169180214562841']
1595169176645423106,2022-11-22T21:35:43.000Z,Accident in #NEOKC on N 23rd St WB at North Walnut Avenue #OKCtraffic https://t.co/5PW2Tg8tp6,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.50877, 35.49311]}}",en,249851984,['1595169176645423106']
1595161636847112192,2022-11-22T21:05:45.000Z,Accident cleared in #SEOKC on Sooner Rd at SE 44th St #OKCtraffic https://t.co/5PW2Tg8tp6,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.42357, 35.42075]}}",en,249851984,['1595161636847112192']
1595161634854817795,2022-11-22T21:05:45.000Z,"Injury accident in #NEOKC on I-35 NB at Wilshire Blvd/Exit 134, stopped traffic back to I-44/Exit 133 #OKCtraffic https://t.co/5PW2Tg8tp6","{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.45706, 35.54746]}}",en,249851984,['1595161634854817795']
1595160371182141440,2022-11-22T21:00:43.000Z,Injury accident in #SEOKC on Sooner Rd at SE 44th St #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.42357, 35.42075]}}",en,249851984,['1595160371182141440']
1595160369567350784,2022-11-22T21:00:43.000Z,Injury accident in #SEOKC on Sooner Rd near Southeast 48th Street #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.42351, 35.41593]}}",en,249851984,['1595160369567350784']
1595156598120480768,2022-11-22T20:45:44.000Z,Accident in #NWOKC on Melrose Lane at North Macarthur Boulevard #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.61896, 35.47152]}}",en,249851984,['1595156598120480768']
1595156595516006401,2022-11-22T20:45:43.000Z,"Injury accident in #NEOKC on I-35 NB at Wilshire Blvd/Exit 134, stop and go traffic back to I-44/Exit 133 #OKCtraffic https://t.co/5PW2Tg8tp6","{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.45706, 35.54746]}}",en,249851984,['1595156595516006401']
1595154080304807941,2022-11-22T20:35:43.000Z,Injury accident in #SEOKC on Sooner Rd near Southeast 48th Street #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.42351, 35.41593]}}",en,249851984,['1595154080304807941']
1595152823217360896,2022-11-22T20:30:44.000Z,Injury accident in #SEOKC on Sooner Rd at SE 44th St #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.42357, 35.42075]}}",en,249851984,['1595152823217360896']
