geo,edit_history_tweet_ids,author_id,lang,text,id,created_at
,['1589003774995369984'],1548793364128178178,en,@luckygoooon @j_grieshaber I'm glad I purchased.  Hard to pay 15k.  I locked in at 12k and wish I had added at 10k.  That said I drive 82 miles each day and FSD takes the stress out of the commute.,1589003774995369984,2022-11-05T21:16:36.000Z
,['1588683528073461762'],1548793364128178178,en,"We bought a Leaf instead of Tesla, what were we thinking? https://t.co/4axClPoWQ4 via @YouTube",1588683528073461762,2022-11-05T00:04:04.000Z
,['1588330486786453504'],1548793364128178178,en,@teslabros sweet - cybercool!,1588330486786453504,2022-11-04T00:41:12.000Z
,['1588329970421862402'],1548793364128178178,en,@ItsKimJava very cool - wish we did not have to choose between FSD beta and the latest tesla software release....,1588329970421862402,2022-11-04T00:39:09.000Z
,['1588168158157934592'],1548793364128178178,en,@rmrdnl @Tesla Yep - its frustrating.,1588168158157934592,2022-11-03T13:56:10.000Z
{'place_id': 'edacd050f402302c'},['1587927390759849984'],1548793364128178178,en,@trav_is_jackson @luckygoooon @DesertTesla @j_grieshaber @teslaloosa @4monstergadgets Yep they know sentry mode will narc on them if they mess with someone else's car....,1587927390759849984,2022-11-02T21:59:26.000Z
{'place_id': '3a32d101fe825fd9'},['1587894790758227968'],1548793364128178178,en,"10.69.2.4 drive starting now. 

Skipped .3 so excited see if/how it's improved. Looks like it's all fsd beta code, no UI differences. https://t.co/OgSvOcmshs",1587894790758227968,2022-11-02T19:49:54.000Z
{'place_id': 'edacd050f402302c'},['1587754980554964993'],1548793364128178178,en,"@Tesla updates dropping down this morning. 

Let's get it on! https://t.co/VDMBr7LI0u",1587754980554964993,2022-11-02T10:34:21.000Z
,['1587625433662689281'],1548793364128178178,en,@Tesla already out of stock....  Lets make some more so us common folks can get some sweet Tesla swag.,1587625433662689281,2022-11-02T01:59:34.000Z
,['1587560035676262400'],1548793364128178178,en,"@luckygoooon @ropo724 @trav_is_jackson I was alone
I was all by myself
No one was looking
I was thinking of you
Oh yeah, did I mention?
I was all by myself....

😆",1587560035676262400,2022-11-01T21:39:42.000Z
{'place_id': 'edacd050f402302c'},['1587480736449417216'],1548793364128178178,en,Channeling my inner @luckygoooon with my autumn parking job today. https://t.co/0cG9Nl7wqT,1587480736449417216,2022-11-01T16:24:36.000Z
{'place_id': '3a32d101fe825fd9'},['1587412377636675588'],1548793364128178178,en,@luckygoooon @ropo724 @trav_is_jackson @Est19631 @MissJilianne Keep going baby!  0% is not in the budget! https://t.co/FpxZvBo25G,1587412377636675588,2022-11-01T11:52:58.000Z
,['1587202764152659972'],1548793364128178178,en,"New EV video dropping now:  
Tesla to J1772? 
https://t.co/QBMbQXAN1o",1587202764152659972,2022-10-31T22:00:02.000Z
,['1587107020779446275'],1548793364128178178,en,@luckygoooon @Est19631 @trav_is_jackson @TeslaDiva99 Best spot ever!,1587107020779446275,2022-10-31T15:39:35.000Z
{'place_id': 'edacd050f402302c'},['1587106823160713218'],1548793364128178178,en,"And yes I did so, I don't become this.... https://t.co/dLyfOJ99Dn",1587106823160713218,2022-10-31T15:38:48.000Z
