author_id,text,created_at,lang,edit_history_tweet_ids,geo,id
306928901,"@NotMrTibbs Beltran, Helton, Rolen, Andruw Jones should be in. Don't understand why Sheff isn't",2022-11-21T03:50:31.000Z,en,['1594538722485313543'],,1594538722485313543
306928901,Congratulations to the Argos. Looked like the Bombers were gonna threepeat. #GreyCup109,2022-11-21T02:51:04.000Z,en,['1594523762380230656'],{'place_id': '01fbe706f872cb32'},1594523762380230656
306928901,Who cares about the Cowboys. This #GreyCup109 is looking like it's gonna have a helluva finish,2022-11-21T01:33:12.000Z,en,['1594504165035753473'],{'place_id': '01fbe706f872cb32'},1594504165035753473
306928901,@WrestlingHumble What are you talking about? I love that he's freestyling and making references to current stuff. ✂️✂️🎤🎤,2022-11-21T01:31:01.000Z,en,['1594503619205742593'],,1594503619205742593
306928901,"@ShawnSpears I get it if it's a short term injury, have it be an on screen injury they can come back from in 3ish weeks. Rosa been gone a long time",2022-11-21T00:10:27.000Z,en,['1594483342845612032'],,1594483342845612032
306928901,Cincinnati looking like the Zebras,2022-11-20T23:44:37.000Z,en,['1594476840348942337'],{'place_id': '01fbe706f872cb32'},1594476840348942337
306928901,"Seriously, Washington Commanders lost winnable games vs the Viking and Lions. They win those and it's a very different outlook after 11 games",2022-11-20T20:08:27.000Z,en,['1594422440788361217'],{'place_id': '01fbe706f872cb32'},1594422440788361217
306928901,"RT @logoffbrent: The Ecuadorian fans are chanting ""queremos cerveza"" and the Fox broadcast said they were chanting ""si se puede."" I am HOWL…",2022-11-20T20:05:29.000Z,en,['1594421692272562176'],,1594421692272562176
306928901,The Texas are trash and the Commanders are on their way to another quasi-respectable season that does nothing for their medium to long term ambitions.,2022-11-20T19:26:03.000Z,en,['1594411772202844160'],{'place_id': '01fbe706f872cb32'},1594411772202844160
306928901,@FOXSoccer Where was the offsides? He was off at one point but he reestablished him in a legal position,2022-11-20T16:17:02.000Z,en,['1594364202747060226'],,1594364202747060226
306928901,"Idk if UMD joining the Big10 was actually bad, the choice was either join or lose in realignment/expansion. But having no local or historic rivals is bad for college sports. Maryland Football's attendance problem. https://t.co/kL7GJpdesZ via @247sports",2022-11-20T16:15:50.000Z,en,['1594363902812364808'],,1594363902812364808
306928901,"Didn't see it live, read @cagesideseats describe it as, ""Cage regained control for an F5, but Starks somehow countered for a Canadian Destroyer.""  Just blew my mind.  Absolute Ricky Starks https://t.co/xwM3Mzvr9B",2022-11-20T16:03:15.000Z,en,['1594360735261409281'],,1594360735261409281
306928901,@JayLeeAC @Jade_Cargill @HoganKnowsBest3 @Miss_LeilaGrey How can people not love Jade Cargill? The TBS title is back home,2022-11-20T15:37:10.000Z,en,['1594354171901247489'],,1594354171901247489
306928901,#NJPW Kenny Omega is just awesome #AEW,2022-11-20T15:10:50.000Z,en,['1594347544359976960'],{'place_id': '01fbe706f872cb32'},1594347544359976960
306928901,@Everton Buy attacking talent in January. Clear need,2022-11-20T12:44:12.000Z,en,['1594310642948706304'],,1594310642948706304
306928901,Some people say Doc Rivers is a top 15 coach of all time. Sixers fans aren't sure if he's better than Brett Brown https://t.co/f65ter5yuA,2022-11-20T03:18:15.000Z,en,['1594168213775917064'],{'place_id': '01fbe706f872cb32'},1594168213775917064
306928901,@HoopsReference Doc shines when expectations are the lowest,2022-11-20T03:08:45.000Z,en,['1594165824037724164'],,1594165824037724164
306928901,How was this a one possession game? https://t.co/mVbZfd8XeY,2022-11-20T03:05:34.000Z,en,['1594165025526075392'],{'place_id': '01fbe706f872cb32'},1594165025526075392
306928901,"A team with Towns, Gobert, and Russell. It's hard to believe the T'Wolves actually planned it this way",2022-11-20T02:50:21.000Z,en,['1594161193865854977'],{'place_id': '01fbe706f872cb32'},1594161193865854977
306928901,"I know he's young, and I don't expect him to contribute, but if Jaden Springer doesn't play during this 2 week stretch, he should just stay in Delaware. #sixers",2022-11-20T02:44:08.000Z,en,['1594159630858727424'],{'place_id': '01fbe706f872cb32'},1594159630858727424
