author_id,lang,id,created_at,edit_history_tweet_ids,text
74976267,en,1562173899110060036,2022-08-23T20:24:15.000Z,['1562173899110060036'],"RT @RepKevinBrady: My neighbor, a detective, worked 3 jobs (including selling carpet) &amp; his wife worked to make sure their daughter got qua…"
74976267,en,1562172666827751425,2022-08-23T20:19:22.000Z,['1562172666827751425'],Science has spoken! https://t.co/KCdOxLiTRq
74976267,en,1561883533676888064,2022-08-23T01:10:27.000Z,['1561883533676888064'],May God hold you in his strong hands on the anniversary of such a loss. https://t.co/yYqb6oV6IT
74976267,qst,1561767391549341698,2022-08-22T17:28:57.000Z,['1561767391549341698'],RT @tedcruz: yup
74976267,en,1561429087855558656,2022-08-21T19:04:39.000Z,['1561429087855558656'],RT @tedcruz: Remarkable. Really makes you appreciate life.
74976267,en,1560394531903782933,2022-08-18T22:33:41.000Z,['1560394531903782933'],RT @ksorbs: Did he just say that?  Yep. https://t.co/gu9Fk7t1Sv
74976267,en,1560394310746529797,2022-08-18T22:32:49.000Z,['1560394310746529797'],"RT @JosephWulfsohn: As CNN cancels ‘Reliable Sources,’ it’s worth recalling Brian Stelter routinely ignored the biggest media stories on a…"
74976267,en,1560393564424732674,2022-08-18T22:29:51.000Z,['1560393564424732674'],RT @MarkDavis: Everyone spouting this evil should be fired.  Hospital departments trafficking in this carnage should be shut down. These tr…
74976267,en,1560392633461391360,2022-08-18T22:26:09.000Z,['1560392633461391360'],"RT @MarkDavis: Good story, as sanity restores a foothold.  But for God's sake, @FoxNews (and everyone), stop referring to these people as ""…"
74976267,en,1560392098842644481,2022-08-18T22:24:01.000Z,['1560392098842644481'],RT @MarkDavis: Leftist provocateurs at @NBCNews return to #Southlake to continue the smears against a community standing up to the poisons…
74976267,en,1560069234327277570,2022-08-18T01:01:04.000Z,['1560069234327277570'],RT @ThreeTwoEephus: I married a real one https://t.co/i5xOLK7J5e
74976267,en,1559983195592048640,2022-08-17T19:19:11.000Z,['1559983195592048640'],"IMO the Kinsler-Fielder trade was the biggest disaster, a blunder of epic proportions. It not only cost them on the field, but it crippled the team financially for many years to come. It was a HIGHLY questionable move from the day it was done, and turned out just like most feared https://t.co/CbpPtII08z"
74976267,en,1559967477102264323,2022-08-17T18:16:43.000Z,['1559967477102264323'],"JD failures on trades and free agents had to be big issues. The owners bailed on allowing JD big spending (who wouldn't?) after the Fielder and Choo disasters that spent massive payroll for mediocre results. Now spending again, last winter's group looks way overpaid too. Not good https://t.co/v9rJQ1Gufp"
74976267,en,1559654826342072325,2022-08-16T21:34:22.000Z,['1559654826342072325'],"RT @OCBFChurch: Stop being a hostage to what MIGHT happen... Matthew 6: 34 says ""So do not worry about tomorrow; for tomorrow will worry ab…"
74976267,en,1559620632165351429,2022-08-16T19:18:29.000Z,['1559620632165351429'],"RT @ClutchPointsApp: Luka Doncic from half-court to wrap up Slovenia practice 🔥

(via sanja_modric/ IG) https://t.co/2vfonInYeW"
74976267,en,1559619785821937664,2022-08-16T19:15:07.000Z,['1559619785821937664'],"RT @RonPaul: Got 4 Jabs -- Got Covid -- ""Grateful"" For The Jabs -- What? https://t.co/oS40hupR6t"
74976267,en,1559619099482791936,2022-08-16T19:12:24.000Z,['1559619099482791936'],"RT @WokePreacherTV: Francis Collins now: I always followed the data

Francis Collins then: Well, there is no data... https://t.co/m3n6wifCij"
74976267,en,1559071540888707072,2022-08-15T06:56:36.000Z,['1559071540888707072'],"These are presumably the ""training camp"" deals, where the intended path is they will be waived in camp and be GL players on the Legends. (The Legends get exclusive GL rights.)

Mavs/Legends history is that such players never develop into Mavs, sadly. Maybe some day ....? https://t.co/5di3ORcNGk"
