text,created_at,lang,id,edit_history_tweet_ids,author_id
"RT @MoCoProcure: The @MoCoProcure Online Open House is Wed. Nov. 16 from 10-11am! Learn about small business grants, loans and access to ca…",2022-11-15T15:08:02.000Z,en,1592534898321285121,['1592534898321285121'],18009561
"TODAY! The Montgomery Al Dia radio show features #MoCoDPS Division Chief Linda Kobylski &amp; Senior Plan Reviewer Mariella Dallas to tell you about a free online design consultation service, &amp; a new customer survey. Tune in at 2 p.m. live! 
📻▶https://t.co/U1r0LbmhiU. https://t.co/asOCotpvMN",2022-11-15T13:00:59.000Z,en,1592502924399316995,['1592502924399316995'],18009561
"🌞 Good Morning Montgomery County! If you or someone you know needs food assistance, visit the County's website for information on upcoming distribution events and resources ➡️ https://t.co/mOfFrSxRJo. https://t.co/7FiKVZUWNK",2022-11-15T12:01:15.000Z,en,1592487894786138114,['1592487894786138114'],18009561
"APPLY NOW: The Montgomery County Department of Transportation is seeking Montgomery County high school students to serve as “Vision Zero Youth Ambassadors.” The deadline to apply is Wednesday, Nov. 30. Details ➡️ https://t.co/XHaF3joM1R. https://t.co/tohtgOmqzr",2022-11-14T22:01:09.000Z,en,1592276477441081346,['1592276477441081346'],18009561
Cooler weather has us thinking ahead to winter! Make sure to have a plan and stay informed when winter weather hits ➡️ https://t.co/TiR1rlghvZ. https://t.co/2gEAGk6PpM,2022-11-14T19:30:29.000Z,en,1592238558680854528,['1592238558680854528'],18009561
"Have questions about #COVID19? ☎️ Call the COVID Call Center, Monday - Friday, 9 a.m. - 5 p.m. You can also visit our website 💻➡️ https://t.co/IgIvPXD4lW. https://t.co/GkU0HkKKcK",2022-11-14T17:02:42.000Z,en,1592201368571613184,['1592201368571613184'],18009561
"Stay in the know! The #MoCoDPS website features essential information for the business community, including what to know before buying and leasing a building space and what you need to know about permits and licenses to open and operate a business. 
💻➡https://t.co/KQ5svr8vTR. https://t.co/vhHLXBPmnL",2022-11-14T15:30:14.000Z,en,1592178100195958785,['1592178100195958785'],18009561
Registration for Montgomery County Recreation's winter programs is now underway! Visit 💻➡️ https://t.co/WtpGAb0QJ9 to register. @MoCoRec https://t.co/s1FCoVVgHN,2022-11-14T14:01:50.000Z,en,1592155850046865409,['1592155850046865409'],18009561
"TODAY: Montgomery County Executive Marc Elrich is hosting hybrid in-person forums to seek input on the Fiscal Year 2024 Operating Budget. The first forum will take place tonight, Monday, Nov. 14. Details ➡️ https://t.co/OwYMFD27oj. https://t.co/Qig8aKgYDH",2022-11-14T13:02:09.000Z,en,1592140830373912576,['1592140830373912576'],18009561
"Montgomery County health officials, in partnership with the A. James Clark School of Engineering at the University of Maryland-College Park, recently launched wastewater surveillance to detect #COVID19 circulating in the community. Learn more ➡️ https://t.co/dHJUQYkCdj. @MoCoDHHS https://t.co/DIJfaPYprR",2022-11-13T22:00:34.000Z,en,1591913942569418758,['1591913942569418758'],18009561
"Ever wonder what can my family, friends, and I do in our everyday lives to combat climate change and create a more resilient Montgomery County? Find the answer here ➡️ https://t.co/ViU6o8dITd. #ClimateChange @MyGreenMC https://t.co/I3A3PcGSKY",2022-11-13T19:30:16.000Z,en,1591876117019111425,['1591876117019111425'],18009561
"💻 Get your free flu shot! For everything you need to know, visit ➡️ https://t.co/nzIFvDX456. https://t.co/IIevIijT4M",2022-11-13T17:01:06.000Z,en,1591838578698768384,['1591838578698768384'],18009561
"If you or someone you know needs food assistance, visit the County's website for information on upcoming distribution events and resources ➡️ https://t.co/mOfFrSxRJo. https://t.co/v4r6G6q0eM",2022-11-13T15:30:21.000Z,en,1591815738297356288,['1591815738297356288'],18009561
Make sure you are signed up for #AlertMontgomery to get the latest alerts for your area straight to your device 💻📲 https://t.co/2RSR5q64VF. https://t.co/6JEpTWAHvV,2022-11-13T13:00:58.000Z,en,1591778144901636109,['1591778144901636109'],18009561
Registration for Montgomery County Recreation’s winter classes and programs will open at 6:30 a.m. on Monday (Nov. 14)! Learn more ➡️ https://t.co/02FKYszBHG. @MoCoRec https://t.co/yKCUzlWgBT,2022-11-12T23:00:34.000Z,en,1591566652663304192,['1591566652663304192'],18009561
"Montgomery County Executive Marc Elrich is hosting hybrid in-person forums to seek input on the Fiscal Year 2024 Operating Budget. The first forum will take place on MONDAY (Nov. 14). For everything you need to know, visit ➡️ https://t.co/OwYMFCL4mj. https://t.co/g006S1qRni",2022-11-12T20:00:42.000Z,en,1591521387235405824,['1591521387235405824'],18009561
"Larger than life inflatable turkeys and penguins, glittering floats, marching bands, dancing groups, and Santa and his elves!  The Montgomery County Thanksgiving Parade is taking place next Saturday, Nov. 19 in #SilverSpring. ℹ️➡️ https://t.co/jhmnFu6b2c https://t.co/RrGQlp7hib",2022-11-12T19:00:58.000Z,en,1591506353213808640,['1591506353213808640'],18009561
"The Montgomery County Animal Services and Adoption Center is open for adoptions by appointment! For everything you need to know, visit the website ➡️ https://t.co/QNzhTEjM2q. @mcasac https://t.co/2U7grUuOQw",2022-11-12T16:30:18.000Z,en,1591468439956328449,['1591468439956328449'],18009561
"#StayInformed For the latest information on #COVID19 in Montgomery County, visit our website 💻➡️ https://t.co/NInGBnf4tF. https://t.co/edoDuWieJ0",2022-11-12T14:45:11.000Z,en,1591441986825129986,['1591441986825129986'],18009561
📲 Stay connected with Montgomery County Government! 💻 #FridayFollow https://t.co/528AaBuFHE,2022-11-11T21:01:29.000Z,en,1591174294985662465,['1591174294985662465'],18009561
🍂 The Montgomery County Department of Transportation's annual leaf vacuuming program is underway. For everything you need to know ➡️ https://t.co/agdsPrqdaX https://t.co/HvQKuE9ODr,2022-11-11T19:01:51.000Z,en,1591144191735828483,['1591144191735828483'],18009561
"Montgomery County salutes its veterans, including #MoCoDPS Program Manager Cynthia Lundy, who served in the @USArmy.
#VeteransDay #ThankYouForYourService #HonoringVets https://t.co/KLK1J573q5",2022-11-11T18:01:12.000Z,en,1591128924775645184,['1591128924775645184'],18009561
📸 View photos from recent Montgomery County events on Flickr! 💻➡️ https://t.co/yZFKEzMOVi https://t.co/aAwoyuTXeW,2022-11-11T16:35:15.000Z,en,1591107298486648845,['1591107298486648845'],18009561
"REMINDER: Montgomery County Government, and programs that impact County residents, are observing schedule and program changes for #VeteransDay. Details ➡️ https://t.co/gtf7LaQE6Z. https://t.co/Hkq55Ejo5A",2022-11-11T14:02:30.000Z,en,1591068855417589760,['1591068855417589760'],18009561
"Today, #VeteransDay, we honor and thank all who have served. https://t.co/azdUsRLalY",2022-11-11T12:01:17.000Z,en,1591038348965150720,['1591038348965150720'],18009561
📚 Your @MCPL_Libraries card gets you access to many great services! Learn more 💻➡️ https://t.co/vX3ocTgXsY. https://t.co/SeNud2p063,2022-11-10T20:01:08.000Z,en,1590796720111292418,['1590796720111292418'],18009561
"🚗 Visit the #MoCoDPS website for permitting information about residential charging for electric vehicles (EV), including a frequently asked questions and answers section!
💻➡ https://t.co/BJt6c7panX. https://t.co/FgB1AdJxW2",2022-11-10T19:20:11.000Z,en,1590786414731370496,['1590786414731370496'],18009561
"County-provided trash and recycling collections are postponed tomorrow, Nov. 11 (#VeteransDay) and will slide one day with last pickup on Nov. 12. ℹ️➡️ https://t.co/fp0hya2v45 https://t.co/wLWLin4I67",2022-11-10T18:20:13.000Z,en,1590771322707214336,['1590771322707214336'],18009561
Renters! Looking for resources? Visit our website 💻➡️ https://t.co/FcJy4SgmEZ. https://t.co/x5ARztFRie,2022-11-10T16:25:13.000Z,en,1590742383481671681,['1590742383481671681'],18009561
"#GoVaxMoCo To learn more about getting a #COVID19 vaccine/booster and to make an appointment, visit ➡️ https://t.co/LhLZGwVACS. https://t.co/KiK4wTXyzB",2022-11-10T15:02:28.000Z,en,1590721560754765824,['1590721560754765824'],18009561
"🌞 Good Morning Montgomery County! If you or someone you know needs food assistance, visit the County's website for information on upcoming distribution events and resources ➡️ https://t.co/mOfFrSxRJo. https://t.co/3AeGxHx9yn",2022-11-10T12:00:58.000Z,en,1590675881659359232,['1590675881659359232'],18009561
"Plan ahead! The Montgomery County Government, and programs that impact County residents, will observe schedule and program changes for the observance of #VeteransDay this Friday, Nov. 11. ℹ️➡️ https://t.co/qjXQRIqkNy https://t.co/8OPfx5TpUN",2022-11-09T22:00:53.000Z,en,1590464469196496902,['1590464469196496902'],18009561
"#ICYMI The Montgomery County Community Action Agency’s Volunteer Income Tax Assistance program is recruiting volunteers to become IRS-certified VITA tax preparers, schedulers, greeters, interpreters, quality reviewers and site coordinators. ℹ️➡️ https://t.co/cHyyPWfU0d https://t.co/YG9A4rigUJ",2022-11-09T20:01:06.000Z,en,1590434323626614784,['1590434323626614784'],18009561
"Looking for a job? The Montgomery County Department of Permitting Services is hiring inspectors, permitting specialists and more! Consider a rewarding career as a code official. Apply today! 
💻➡ https://t.co/Inxb4kTpP2.
#MoCoDPS #jobs https://t.co/dasREhoHHR",2022-11-09T16:01:46.000Z,en,1590374094465560576,['1590374094465560576'],18009561
"The Montgomery County Department of Transportation is seeking Montgomery County high school students to serve as “Vision Zero Youth Ambassadors.” The deadline to apply is Wednesday, Nov. 30. ℹ️➡️ https://t.co/SsDFVvBs75 @MCDOTNow @VisionZeroMC https://t.co/DYtb1ybyzK",2022-11-09T15:02:22.000Z,en,1590359146053836800,['1590359146053836800'],18009561
"TIME CHANGE: Weekly Media Briefing with Montgomery County Executive Marc Elrich and Other County Officials on Wednesday, November 9 TO BEGIN AT 11 A.M.

📺 Watch live right here on Facebook and County Cable Montgomery ➡ https://t.co/XLbtjVm2E8.
 https://t.co/21e35eTHYB https://t.co/LOLVsLmLfC",2022-11-09T14:51:08.000Z,en,1590356319420051456,['1590356319420051456'],18009561
"#ICYMI Montgomery County health officials, in partnership with the A. James Clark School of Engineering at the University of Maryland-College Park, recently launched wastewater surveillance to detect #COVID19 circulating in the community. 

📰➡️ https://t.co/qUJbguz9PW https://t.co/cvVlXAy8VU",2022-11-09T13:20:12.000Z,en,1590333436438335488,['1590333436438335488'],18009561
Unofficial 2022 Gubernatorial General Election Results for Montgomery County. https://t.co/kkvpGWorIN https://t.co/WbmSMDZI45,2022-11-09T02:49:54.000Z,ro,1590174813104267264,['1590174813104267264'],18009561
