,author_id,lang,id,text,edit_history_tweet_ids,created_at
73,25029937,en,1546190577250607104,Join me for brunch at No. 79 Restaurant! #Music #Livemusic #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey https://t.co/ePKD50RqAx,['1546190577250607104'],2022-07-10T17:52:15.000Z
74,25029937,en,1546190438167498753,Join me for brunch at No. 79 Restaurant! 🤘🏼 #Music #Livemusic #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey https://t.co/FzRnLc11qD,['1546190438167498753'],2022-07-10T17:51:41.000Z
75,25029937,en,1546186583698640896,Testing 1...2...3.. can u confirm connection? lol https://t.co/e3Djc3atf1,['1546186583698640896'],2022-07-10T17:36:22.000Z
76,25029937,en,1546173189419438082,Join me for lunch #gig https://t.co/Q9NV2FxKeu,['1546173189419438082'],2022-07-10T16:43:09.000Z
77,25029937,en,1545460737119850500,"Nancy Malcun has a show on 07/10/2022 at 12:30 PM @ No.79 Restaurant Bar &amp; Liquor Store in Hammonton, NJ https://t.co/CDEabCM4h9 #concert https://t.co/QztZUZoPXQ",['1545460737119850500'],2022-07-08T17:32:07.000Z
78,25029937,en,1545207070395351040,"Nancy Malcun has a show on 07/08/2022 at 05:00 PM @ Terra Nonno Winery in Millville, NJ https://t.co/DiFfVmqMlj #concert https://t.co/QztZUZoPXQ",['1545207070395351040'],2022-07-08T00:44:08.000Z
79,25029937,en,1544826215290257409,"Nancy Malcun has a show on 07/08/2022 at 04:30 PM @ Terra Nonno Winery in Millville, NJ https://t.co/vktLd03i8R #concert https://t.co/QztZUZoPXQ",['1544826215290257409'],2022-07-06T23:30:45.000Z
80,25029937,en,1544789821104672768,Exit zero live music :) #Music #Livemusic #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey #Capemay https://t.co/KQrHhG2lrn,['1544789821104672768'],2022-07-06T21:06:08.000Z
81,25029937,en,1544073008192552960,"Nancy Malcun has a show on 07/06/2022 at 05:00 PM @ Exit Zero Filling Station in Cape May, NJ https://t.co/x5uRE8EhDz #concert https://t.co/QztZUZoPXQ",['1544073008192552960'],2022-07-04T21:37:47.000Z
82,25029937,en,1543630154097774592,Lunchtime :) 🎙🎸 #Galloway #Music #Livemusic #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey https://t.co/Ovnd7579VP,['1543630154097774592'],2022-07-03T16:18:02.000Z
83,25029937,en,1543614111648346112,Good morning! 🎸🎙McGettigan's #Galloway #Music #Livemusic #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey https://t.co/VzNV0DN0ZM,['1543614111648346112'],2022-07-03T15:14:17.000Z
84,25029937,en,1542907296442978305,"Nancy Malcun has a show on 07/03/2022 at 11:00 AM @ McGettigan's 19th Hole Tavern in Absecon, NJ https://t.co/j0IRrVGsxc #concert https://t.co/QztZUZoPXQ",['1542907296442978305'],2022-07-01T16:25:39.000Z
85,25029937,en,1542615710144290819,"Nancy Malcun has a show on 07/02/2022 at 05:00 PM @ Plagido's Winery in Hammonton, NJ https://t.co/KmGt0v6Z1W #concert https://t.co/QztZUZoPXQ",['1542615710144290819'],2022-06-30T21:07:00.000Z
86,25029937,en,1542321497196445696,"Nancy Malcun has a show on 07/01/2022 at 06:30 PM @ No.79 Restaurant Bar &amp; Liquor Store in Hammonton, NJ https://t.co/wUcHUYMXzK #concert https://t.co/QztZUZoPXQ",['1542321497196445696'],2022-06-30T01:37:54.000Z
87,25029937,en,1541583351961624576,Live music at Nola in Atlantic City (Ocean Casino) #Music #Livemusic #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey https://t.co/qU3fpfzJWo,['1541583351961624576'],2022-06-28T00:44:46.000Z
88,25029937,en,1541575986038378498,"Nancy Malcun has a show on 06/29/2022 at 05:00 PM @ Exit Zero Filling Station in Cape May, NJ https://t.co/YSRU7DStJh #concert https://t.co/QztZUZoPXQ",['1541575986038378498'],2022-06-28T00:15:30.000Z
89,25029937,en,1541564125381140480,Live music from Nola in Ocean Casino #Livemusic #Music #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey https://t.co/VCKBVN2TUb,['1541564125381140480'],2022-06-27T23:28:23.000Z
90,25029937,en,1541201406341832705,"Nancy Malcun has a show on 06/28/2022 at 06:00 PM @ Margaritaville Restaurant Atlantic City in Atlantic City, NJ https://t.co/X8egsYRGOq #concert https://t.co/QztZUZoPXQ",['1541201406341832705'],2022-06-26T23:27:04.000Z
91,25029937,en,1540838831834136576,"Nancy Malcun has a show on 06/27/2022 at 06:15 PM @ Ocean Resort Casino in Atlantic City, NJ https://t.co/0Pmea9hHyY #concert https://t.co/QztZUZpnNo",['1540838831834136576'],2022-06-25T23:26:19.000Z
92,25029937,en,1540500473861419011,Join us for our last set in Atlantic City! #Livemusic #Music #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey https://t.co/fDxiLNSyPo,['1540500473861419011'],2022-06-25T01:01:48.000Z
93,25029937,en,1540498089236217856,"Nancy Malcun has a show on 06/26/2022 at 05:00 PM @ Boiler Room at Congress Hall in Cape May, NJ https://t.co/IjZrMXpOcA #concert https://t.co/QztZUZoPXQ",['1540498089236217856'],2022-06-25T00:52:20.000Z
94,25029937,en,1540485439571734529,Join us at our gig in atlantic city! #Livemusic #Music #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey #Wellness https://t.co/sKBsnzzgQm,['1540485439571734529'],2022-06-25T00:02:04.000Z
95,25029937,en,1539781429957169154,"Nancy Malcun has a show on 06/24/2022 at 06:00 PM @ Tango’s Lounge in Atlantic City, NJ https://t.co/DEKEBt25zQ #concert https://t.co/QztZUZoPXQ",['1539781429957169154'],2022-06-23T01:24:35.000Z
96,25029937,en,1539383644879351808,Join me at Margaritaville in Atlantic city! 🎸🙋🏽‍♀️ https://t.co/oc6SiV5SYz,['1539383644879351808'],2022-06-21T23:03:55.000Z
97,25029937,en,1539367757652692993,Join me at @ margaritaville in atlantic city! 🎸🎙idk if its gonna go in and out https://t.co/grqAtk09gj,['1539367757652692993'],2022-06-21T22:00:48.000Z
98,25029937,en,1539022829529751553,"Nancy Malcun has a show on 06/22/2022 at 05:00 PM @ Exit Zero Filling Station in Cape May, NJ https://t.co/Aq4xjgMDhC #concert https://t.co/QztZUZoPXQ",['1539022829529751553'],2022-06-20T23:10:10.000Z
99,25029937,en,1538682730350780416,"Nancy Malcun has a show on 06/21/2022 at 06:00 PM @ Margaritaville Restaurant Atlantic City in Atlantic City, NJ https://t.co/XSL8vcehBX #concert https://t.co/QztZUZoPXQ",['1538682730350780416'],2022-06-20T00:38:44.000Z
