lang,geo,text,edit_history_tweet_ids,created_at,author_id,id
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.171184, 40.73359]}, 'place_id': 'fa3435044b52ecc7'}",Cleared: Special Event on #PrudentialCenterROCK,['1597069988430766080'],2022-11-28T03:28:52.000Z,50706690,1597069988430766080
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.992311, 40.634173]}, 'place_id': '011add077f4d2da3'}",Cleared: Incident on #B11Bus EB at 50 St/13 Av,['1597069987486867458'],2022-11-28T03:28:51.000Z,50706690,1597069987486867458
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.129142, 40.654298]}, 'place_id': '3d3c56338b6a3b4a'}",Updated: Construction on #HudsonBergenLightRail Both directions at 8th Street Light Rail Station https://t.co/dinbsjMSQg,['1597069265148207104'],2022-11-28T03:25:59.000Z,50706690,1597069265148207104
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.160054, 40.884759]}, 'place_id': '7356b662670b2c31'}",Incident on #GardenStateParkway NB at Exit 155B - Passaic https://t.co/iRi6PwCzVK,['1597068955637669896'],2022-11-28T03:24:45.000Z,50706690,1597068955637669896
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.345397, 40.731998]}, 'place_id': '0e9eb11ae9e524aa'}",Updated: Closure on #SouthernStateParkway WB at Exit 37N - Belmont Avenue https://t.co/4JLU9dzEcZ,['1597067725389541376'],2022-11-28T03:19:52.000Z,50706690,1597067725389541376
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.866256, 40.87785]}, 'place_id': '002e24c6736f069d'}",Cleared: Construction on #2Line SB from Gun Hill Rd to E 180 St,['1597067202515324929'],2022-11-28T03:17:47.000Z,50706690,1597067202515324929
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.704758, 40.661517]}, 'place_id': 'a6bb3ed9f8ccb4a2'}",Incident on #WestHempstead EB at Valley Stream https://t.co/Cr3rcujjPb,['1597066958859632641'],2022-11-28T03:16:49.000Z,50706690,1597066958859632641
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.984282, 41.101349]}, 'place_id': '2ba9f9cb486697e1'}",Cleared: Incident on #I87NYSThruway SB at Before Exit 13 (I-87) - Palisades Interstate Parkway,['1597066752629907456'],2022-11-28T03:16:00.000Z,50706690,1597066752629907456
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.345397, 40.731998]}, 'place_id': '0e9eb11ae9e524aa'}",Incident on #SouthernStateParkway WB at Exit 37N - Belmont Avenue https://t.co/4JLU9di3lr,['1597066456583241728'],2022-11-28T03:14:49.000Z,50706690,1597066456583241728
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.6844, 40.6831]}, 'place_id': 'cdc37bae2a45fc33'}",Incident on #SouthernStateParkway EB from Exit 15 - North Corona Avenue to Exit 17N - Hempstead Avenue https://t.co/4vSO7d6qPN,['1597065954172993536'],2022-11-28T03:12:50.000Z,50706690,1597065954172993536
en,"{'coordinates': {'type': 'Point', 'coordinates': [-72.678951, 41.770945]}, 'place_id': '61c225139f635563'}",Cleared: Incident on #I84 EB at 0.05 miles before Exit 50 (TRUMBULL ST),['1597065207863730177'],2022-11-28T03:09:52.000Z,50706690,1597065207863730177
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.009781, 40.712582]}, 'place_id': '01a9a39529b27f36'}",Cleared: Incident on #ELine from World Trade Center to Jamaica - 179 St,['1597064712570609664'],2022-11-28T03:07:54.000Z,50706690,1597064712570609664
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.210531, 40.643434]}, 'place_id': 'b74cebcb62a1a686'}",Cleared: Incident on #NewJerseyTurnpike WB at I-278 Goethals Bridge to Interchange 13,['1597063928265441281'],2022-11-28T03:04:47.000Z,50706690,1597063928265441281
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.99219, 40.75002]}, 'place_id': '01a9a39529b27f36'}",Updated: Special Event on #MadisonSquareGarden https://t.co/vlvpc0eDVf,['1597063455999234048'],2022-11-28T03:02:54.000Z,50706690,1597063455999234048
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.845806, 40.756717]}, 'place_id': '00c39537733fa112'}",Updated: Special Event on #CitiField https://t.co/cJyj36Alua,['1597063454984089600'],2022-11-28T03:02:54.000Z,50706690,1597063454984089600
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.980393, 40.759902]}, 'place_id': '01a9a39529b27f36'}",Updated: Special Event on #RadioCityMusicHall https://t.co/DcVzq2ccgL,['1597063453943791616'],2022-11-28T03:02:54.000Z,50706690,1597063453943791616
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.866256, 40.87785]}, 'place_id': '002e24c6736f069d'}",Updated: Construction on #2Line SB from Gun Hill Rd to E 180 St https://t.co/EPMU0O8fXF,['1597063452870070272'],2022-11-28T03:02:53.000Z,50706690,1597063452870070272
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.845806, 40.756717]}, 'place_id': '00c39537733fa112'}",Updated: Special Event on #CitiField https://t.co/ji0mElUDNY,['1597063451658317824'],2022-11-28T03:02:53.000Z,50706690,1597063451658317824
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.076049, 40.64352]}, 'place_id': '00c55f041e27dc51'}",Incident on #StgeorgeFerryRouteAndStgeorgeTMFerryRoute Both directions at St George Ferry Terminal https://t.co/J3IeiL28EM,['1597063450102046728'],2022-11-28T03:02:53.000Z,50706690,1597063450102046728
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.845806, 40.756717]}, 'place_id': '00c39537733fa112'}",Cleared: Special Event on #CitiField,['1597063446306037760'],2022-11-28T03:02:52.000Z,50706690,1597063446306037760
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.99219, 40.75002]}, 'place_id': '01a9a39529b27f36'}",Cleared: Special Event on #MadisonSquareGarden,['1597063444896923648'],2022-11-28T03:02:51.000Z,50706690,1597063444896923648
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.866256, 40.87785]}, 'place_id': '002e24c6736f069d'}",Cleared: Construction on #2Line SB from Gun Hill Rd to E 180 St,['1597063443655294983'],2022-11-28T03:02:51.000Z,50706690,1597063443655294983
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.910318, 40.775832]}, 'place_id': '00c39537733fa112'}",Cleared: Incident on #Q69Bus Both directions from Ditmars Bl/31 St to Ditmars Bl/Steinway St,['1597063442858483712'],2022-11-28T03:02:51.000Z,50706690,1597063442858483712
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.008132, 40.654003]}, 'place_id': '011add077f4d2da3'}",Incident on #I278 WB at Exit   - 38th Street; Sunset Park Industrial Park https://t.co/U4NgfxjNcO,['1597062696792428544'],2022-11-28T02:59:53.000Z,50706690,1597062696792428544
