created_at,lang,edit_history_tweet_ids,id,text,author_id,geo
2022-11-11T10:53:15.000Z,art,['1591021227917078528'],1591021227917078528,RT @citizentommy: 👏👏👏👏👏👏👏✊,1100463874678116352,
2022-11-11T10:51:02.000Z,en,['1591020670884139008'],1591020670884139008,"RT @Del84946007: ITS ALL ABOUT THE OIL ...
#whynotscotland 
#YesScots https://t.co/JKIfJfTs6J",1100463874678116352,
2022-11-11T10:45:25.000Z,en,['1591019258779422722'],1591019258779422722,"RT @citizentommy: 👍👏👏👏👏👏👏
Solidarity with the Dockers ✊",1100463874678116352,
2022-11-11T09:49:30.000Z,en,['1591005185295486976'],1591005185295486976,RT @Agitate4Change: A better summary you will not find 👏 👏 👏 https://t.co/rcEFGvVJbA,1100463874678116352,
2022-11-10T20:27:14.000Z,en,['1590803289939251200'],1590803289939251200,@JamesEFoster They are now the Tory party…Tories are now UKIP…it’s been coming for years,1100463874678116352,
2022-11-10T20:21:35.000Z,en,['1590801865306148865'],1590801865306148865,RT @citizentommy: Solidarity with the nurses and all striking workers ✊🏴󠁧󠁢󠁳󠁣󠁴󠁿,1100463874678116352,
2022-11-10T20:21:14.000Z,en,['1590801780635762688'],1590801780635762688,"@TheRyanMcGinlay How come that every time they get a player and he’s better than ours, the paper’s are full of clubs wanting to buy ours…🤷🏼‍♂️",1100463874678116352,
2022-11-10T20:13:59.000Z,en,['1590799953097805824'],1590799953097805824,@DaveWardGS Time to act against this corrupt fascist government ✊✊,1100463874678116352,
2022-11-10T20:13:25.000Z,en,['1590799811808206881'],1590799811808206881,"RT @DaveWardGS: The lines are drawn

RT if you are with the striking nurses, posties, telecom workers, rail workers, civil servants, lectur…",1100463874678116352,
2022-11-10T10:02:40.000Z,en,['1590646111941046272'],1590646111941046272,RT @SpitfireVC: RT if you agree with me that @wesstreeting should be sacked from his position as Shadow Health Secretary by @Keir_Starmer f…,1100463874678116352,
2022-11-09T20:44:21.000Z,en,['1590445207501557761'],1590445207501557761,@Soc_Sciences Wonder how much Nick’s on and what he contributes to the wellbeing of his precious England?,1100463874678116352,{'place_id': '62a2a7f86cd9a5b4'}
2022-11-09T20:41:44.000Z,en,['1590444548840300544'],1590444548840300544,Beats me how SNP MPs can attend that cesspit that’s the UK parliament…achieves absolutely nothing…well apart from???,1100463874678116352,{'place_id': '62a2a7f86cd9a5b4'}
2022-11-09T19:33:41.000Z,en,['1590427426882224128'],1590427426882224128,"@wesstreeting @AngieGhirl1888 @OwenJones84 Aye, right it was in jest….you got caught….you couldn’t lace his boots",1100463874678116352,
2022-11-09T18:24:02.000Z,en,['1590409896880918528'],1590409896880918528,"Lasted 5 minutes watching PMQs today…and that was difficult…I always thought that when you were asked a question, you answered it. In the cesspit that is Westminster, you just seemingly blether a lot of shit in response.What an embarrassment of a place",1100463874678116352,
2022-11-09T18:18:56.000Z,en,['1590408611813289984'],1590408611813289984,"RT @GraceBrodie: @WingsScotland @PeteWishart Wishart on Alex Salmond - just a very small selection 
Took me two minutes to find 
You will f…",1100463874678116352,
2022-11-09T07:18:14.000Z,en,['1590242341147013121'],1590242341147013121,What a fucked up place the UK is…time to go Scotland #ScottishIndependence,1100463874678116352,{'place_id': '62a2a7f86cd9a5b4'}
2022-11-08T13:20:37.000Z,en,['1589971150121369600'],1589971150121369600,@DavidJWood2 I’ll out Tory the Tories seems to be his way,1100463874678116352,{'place_id': '62a2a7f86cd9a5b4'}
2022-11-07T21:47:50.000Z,en,['1589736407517446146'],1589736407517446146,@RickyDHale Is there anything he doesn’t agree on with the Tories?,1100463874678116352,
2022-11-06T10:45:40.000Z,en,['1589207383753994241'],1589207383753994241,RT @CraigCelt: GB Banner today. They’ve been raising funds and taking donations through their annual foodbank collection outside Celtic Par…,1100463874678116352,
2022-11-06T10:41:44.000Z,en,['1589206392334069761'],1589206392334069761,"RT @eiecampaign: 🚨 BREAKING: Nurses across the UK have voted for strike action. 

RT if you will stand with every single nurse that takes s…",1100463874678116352,
