lang,geo,edit_history_tweet_ids,text,author_id,id,created_at
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.980393, 40.759902]}, 'place_id': '01a9a39529b27f36'}",['1596987962218143745'],Special Event on #RadioCityMusicHall https://t.co/p0S8eqrVB2,52272942,1596987962218143745,2022-11-27T22:02:55.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.845806, 40.756717]}, 'place_id': '00c39537733fa112'}",['1596987644415987712'],Special Event on #CitiField https://t.co/2q3nTIyMcO,52272942,1596987644415987712,2022-11-27T22:01:39.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.991011, 40.701663]}, 'place_id': '011add077f4d2da3'}",['1596986949977354240'],Cleared: Incident on #I278 EB at Exit 28B - Brooklyn Bridge,52272942,1596986949977354240,2022-11-27T21:58:54.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.902323, 40.762671]}, 'place_id': '00c39537733fa112'}",['1596986948995796993'],Cleared: Incident on #I278 WB at Bulova Avenue; I-278,52272942,1596986948995796993,2022-11-27T21:58:53.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.977056, 40.752998]}, 'place_id': '01a9a39529b27f36'}",['1596986713175248896'],Updated: Incident on #Harlem from Grand Central to Wassaic https://t.co/XSac2X6sM1,52272942,1596986713175248896,2022-11-27T21:57:57.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.925741, 40.847052]}, 'place_id': '002e24c6736f069d'}",['1596985711449751552'],Cleared: Incident on #I87MajorDeeganExpressway SB at Exit 7N-7S 7N &amp; - I-95-Cross Bronx Expressway,52272942,1596985711449751552,2022-11-27T21:53:58.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.992358, 40.750046]}, 'place_id': '01a9a39529b27f36'}",['1596982528098844678'],Cleared: Incident on #CoastLine from New York Penn Station to Long Branch,52272942,1596982528098844678,2022-11-27T21:41:19.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.992358, 40.750046]}, 'place_id': '01a9a39529b27f36'}",['1596982527226322944'],Cleared: Incident on #JerseyLine from New York Penn Station to Long Branch,52272942,1596982527226322944,2022-11-27T21:41:19.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.992358, 40.750046]}, 'place_id': '01a9a39529b27f36'}",['1596982526215524352'],Cleared: Incident on #NorthLine from New York Penn Station to Long Branch,52272942,1596982526215524352,2022-11-27T21:41:19.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.990151, 40.692404]}, 'place_id': '011add077f4d2da3'}",['1596981418223341568'],Incident on #4Line SB at Borough Hall https://t.co/eoTlu5VKf2,52272942,1596981418223341568,2022-11-27T21:36:55.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.943832, 40.746554]}, 'place_id': '00c39537733fa112'}",['1596980988059725824'],Cleared: Incident on #GLine Both directions from Court Sq - 23 St to Carroll St,52272942,1596980988059725824,2022-11-27T21:35:12.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.947642, 40.632836]}, 'place_id': '011add077f4d2da3'}",['1596980464777973762'],Cleared: Incident on #2Line NB from Flatbush Av - Brooklyn College to 135 St,52272942,1596980464777973762,2022-11-27T21:33:07.000Z
