edit_history_tweet_ids,lang,created_at,author_id,id,text
['1596942496072077314'],en,2022-11-27T19:02:15.000Z,55222766,1596942496072077314,"@ericmchugh0  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596942297291456512'],en,2022-11-27T19:01:28.000Z,55222766,1596942297291456512,"@ShopCek  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596941420937764864'],en,2022-11-27T18:57:59.000Z,55222766,1596941420937764864,"@McKinsey  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596941000391655425'],en,2022-11-27T18:56:18.000Z,55222766,1596941000391655425,"@ecomjobs_  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596940605674119168'],en,2022-11-27T18:54:44.000Z,55222766,1596940605674119168,"@b4k_khushal  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596940487218593792'],en,2022-11-27T18:54:16.000Z,55222766,1596940487218593792,"@Shopify  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596940408327897090'],en,2022-11-27T18:53:57.000Z,55222766,1596940408327897090,"@eachspy  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596940308566056960'],en,2022-11-27T18:53:33.000Z,55222766,1596940308566056960,"@MeschainMES  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596940110083198976'],en,2022-11-27T18:52:46.000Z,55222766,1596940110083198976,"@ecommerce  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596939999324565504'],en,2022-11-27T18:52:20.000Z,55222766,1596939999324565504,"@liquidityinc  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
