text,edit_history_tweet_ids,author_id,created_at,id,lang,geo
@AestheticPuppet Wish I lived close 😊😊,['1597041548444594177'],2196775588,2022-11-28T01:35:51.000Z,1597041548444594177,en,
@katelynnnh_ @GrandCalStan Glowing in relaxation :),['1597041413811630080'],2196775588,2022-11-28T01:35:19.000Z,1597041413811630080,en,{'place_id': 'c97807ac2cd60207'}
"@talcotts Cinci - River boat ride, Dayton - Air Force museum, Columbus - COSI / Art Museum, Cleveland - Rock Hall, Toledo - check out the Lake Erie light houses and shores on the way across the top.  That is a top notch underrated road trip.  And if you stop in a few of the parties bewteen",['1597013589642317826'],2196775588,2022-11-27T23:44:45.000Z,1597013589642317826,en,
@edburmila Wait .. wait .. so the extremists are grooming someone???  I though only Trans and Drag Queens did that.. unless the extremists were LYING this whole time…. 🤣🤣🤣🤣,['1597012851511554048'],2196775588,2022-11-27T23:41:49.000Z,1597012851511554048,en,
@ShawnChapek1 I was a bit taken back at the “studio” in this video as I thought he just ran the thing from his Moms garage/basement with a go pro and fisher price microphone.. and the fact there was an “audience”,['1597012246978170880'],2196775588,2022-11-27T23:39:25.000Z,1597012246978170880,en,
@TheMouseAndMore Printer ink,['1597011107436457984'],2196775588,2022-11-27T23:34:53.000Z,1597011107436457984,en,{'place_id': 'c97807ac2cd60207'}
@JudyWinslow_fm Sunshine seasons is a true hidden gem,['1597010708474253313'],2196775588,2022-11-27T23:33:18.000Z,1597010708474253313,en,
"@AestheticPuppet @Princess_n_Bear @ShawnChapek1 @fannylyn @DeweyHaveTo The life of a map eating, pole licking, fun loving  guy.",['1597010169820372992'],2196775588,2022-11-27T23:31:10.000Z,1597010169820372992,en,
@CoreyWDW Waaaiit is that the vault being buried where Walt’s frozen head will eventually be stored That I spy in the picture ?,['1596991992072114176'],2196775588,2022-11-27T22:18:56.000Z,1596991992072114176,en,{'place_id': 'c97807ac2cd60207'}
@Caitiebear13 What is the major malfunction of these idjuts saying things.. Jesus people need to get their heads out of their own asses and just let people live,['1596991237139357697'],2196775588,2022-11-27T22:15:56.000Z,1596991237139357697,en,
@LEGO_Group Tooot tooooot! HO HO HO!!  Merry Christmas 🎅,['1596990847807262722'],2196775588,2022-11-27T22:14:23.000Z,1596990847807262722,en,{'place_id': 'c97807ac2cd60207'}
@LEGO_Group All thanks to your amazing designers and master builders making the winter village set so wonderful ❤️,['1596962019348951040'],2196775588,2022-11-27T20:19:50.000Z,1596962019348951040,en,
"And finished , LEGO village buildings all managed to fit ! 🎄🎄 @LEGO_Group @Disney #legowintervillage #disneychristmas #lego https://t.co/w79Idx38xD",['1596954905277005824'],2196775588,2022-11-27T19:51:34.000Z,1596954905277005824,en,{'place_id': 'c97807ac2cd60207'}
@kitalovessm ❤️❤️❤️ https://t.co/zA7S1Y6BpN,['1596942932543950849'],2196775588,2022-11-27T19:03:59.000Z,1596942932543950849,und,
@ShawnChapek1 I just have no words beyond.. you said it perfectly,['1596942185077043200'],2196775588,2022-11-27T19:01:01.000Z,1596942185077043200,en,
And finished.. Disney and LEGO adorning it @Disney @LEGO_Group 🎄🎄 https://t.co/9ZdZyOMYnp,['1596939727894380544'],2196775588,2022-11-27T18:51:15.000Z,1596939727894380544,en,{'place_id': 'c97807ac2cd60207'}
"Details phase 2, now onto some decorations 🎄🎄 https://t.co/AABtdMFw6a",['1596930644428587009'],2196775588,2022-11-27T18:15:09.000Z,1596930644428587009,en,{'place_id': 'c97807ac2cd60207'}
Greenery part done now onto the details 🎄🎄 https://t.co/vexD8l4J8M,['1596917986233053184'],2196775588,2022-11-27T17:24:51.000Z,1596917986233053184,en,{'place_id': 'c97807ac2cd60207'}
