['1596962091583541250'],2022-11-27T20:20:07.000Z,1596962091583541250,20885834,en,Wednesday night: Chance of flurries or rain showers. Low minus 2. POP 60% https://t.co/b8GFA5lkbZ,
['1596962091088302080'],2022-11-27T20:20:07.000Z,1596962091088302080,336651276,en,"The geography of this city is its story. Watching such films after walking the streets for six weeks gives you a different kind of knowledge. 
https://t.co/7Hjxoe3QID",
['1596962089641431042'],2022-11-27T20:20:06.000Z,1596962089641431042,1252679420,en,"RT @UCLan: To celebrate #LancashireDay we're celebrating our home city of Preston 💙 

Hidden gems, the great outdoors, vibrant nightlife an…",
['1596962087796080641'],2022-11-27T20:20:06.000Z,1596962087796080641,234750797,en,RT @EmilyZFeng: And now Wuhan. People are shouting “解放 open up the city”,
['1596962086839812096'],2022-11-27T20:20:06.000Z,1596962086839812096,1481776266751758336,en,"RT @aje_oluwatosin: Hi, I am currently at the @landrepublic's One Year Anniversary. I am glad to witness the pre-launch of the Vert City, a…",
['1596962086323625985'],2022-11-27T20:20:06.000Z,1596962086323625985,1544924753563381761,en,"Kevin De Bruyne criticised by ex-Man City teammate for comments on Belgium’s World Cup chances as Red Devils accused of showing ‘no passion, fight and energy’ in shock defeat to Morocco https://t.co/qvKwUDIgLn",
['1596962086281940992'],2022-11-27T20:20:06.000Z,1596962086281940992,20885834,en,Thursday: Chance of flurries. High plus 1. POP 40% https://t.co/Vio9cOKOMx,
['1596962085346287616'],2022-11-27T20:20:05.000Z,1596962085346287616,1355617650345451522,en,RT @blueblrdhoneyy: mexico city put the biggest smile i’ve seen on his face in so long 🥹😭 https://t.co/ZwiqBIfqVA,
['1596962085082365954'],2022-11-27T20:20:05.000Z,1596962085082365954,1306214251263127552,en,RT @ShuklaRajiv: Today’s Indore rally of Rahul hi. It looked whole city was on street to have a glimpse of him @INCIndia #BharatJodoYatra h…,
['1596962084776206338'],2022-11-27T20:20:05.000Z,1596962084776206338,1059898531777937410,en,RT @Reuters: Tens of thousands march in Mexico City to support president https://t.co/AB6CBePPMv https://t.co/zslluLvzp9,
['1596962083761184769'],2022-11-27T20:20:05.000Z,1596962083761184769,1309606686416687104,en,"RT @hsdlot: “Look at that! 😁” - Harry talking to the band about the fan project during Love Of My Life on stage at Foro Sol in Mexico City,…",
['1596962081517228034'],2022-11-27T20:20:05.000Z,1596962081517228034,2832311922,en,RT @nothksplz: An accurate hashtag is a degenerate act but terrorizing an entire city for three weeks isn’t? Ok clown. #Clownvoy,
['1596962080254750720'],2022-11-27T20:20:04.000Z,1596962080254750720,20885834,en,Thursday night: Clear. Low minus 9. https://t.co/ciqgImVt8l,
['1596962079650369536'],2022-11-27T20:20:04.000Z,1596962079650369536,1176006556346925056,en,"RT @luvinflix: mom: I want you home in 10 minutes 

me in another city: https://t.co/OP7UAnu8f7",
['1596962078077640704'],2022-11-27T20:20:04.000Z,1596962078077640704,1561288285460123648,en,"Kevin De Bruyne criticised by ex-Man City teammate for comments on Belgium’s World Cup chances as Red Devils accused of showing ‘no passion, fight and energy’ in shock defeat to Morocco https://t.co/fsbLjdoVwS",
['1596962077998190592'],2022-11-27T20:20:04.000Z,1596962077998190592,1360798378670649348,en,"@SoundOfHope_SOH [Wuhan people stand up! Thousands of people gathered to demonstrate and confront thousands of policemen (video)] On the 27th, at the most prosperous Hanzheng Street in Qiaokou District, #武汉  Wuhan City, #万人聚集  #示威  parade mourned the victims of the Xinjiang fire and",
['1596962077590986752'],2022-11-27T20:20:04.000Z,1596962077590986752,1596962051108347908,en,The city has countless streets,
['1596962077327118337'],2022-11-27T20:20:04.000Z,1596962077327118337,2447664324,en,RT @WarMonitor3: Russian forces are now shelling Kherson city again.,
['1596962076991590402'],2022-11-27T20:20:03.000Z,1596962076991590402,268495355,en,"RT @TSEKansasCity: If JuJu Smith-Schuster scores a touchdown AND Kansas City wins today, we'll give a JuJu Smith-Schuster autographed jerse…",
['1596962076878319616'],2022-11-27T20:20:03.000Z,1596962076878319616,1479207515023941640,en,RT @EmilyZFeng: And now Wuhan. People are shouting “解放 open up the city”,
['1596962075598733312'],2022-11-27T20:20:03.000Z,1596962075598733312,1234395385134747648,en,"RT @PeterDain1: Reform polling more than the Tories in Chester.

BUT why are Labour polling 34%!  Break the two party system while you can.…",
['1596962074764398592'],2022-11-27T20:20:03.000Z,1596962074764398592,20885834,en,Friday: Cloudy. High minus 1. https://t.co/CBwiCGL0jo,
